"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3","matchTeams 4","AnchorLink 13","AnchorLink href 19","Image src 7","AnchorLink 14","AnchorLink href 21","AnchorLink href 22","Image src 8","AnchorLink 15","AnchorLink 16","Table__TD 4"
"November, 2022","Fri, Nov 18","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/653666","https://www.espn.com/soccer/team/_/id/2620/egypt","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/egy.png&w=40&h=40&scale=crop&cquality=40&location=origin","Egypt","International Friendly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Mon, Sep 26","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/624021","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","UEFA Nations League","Fri, Sep 23","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/624056","https://www.espn.com/soccer/team/_/id/578/wales","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/wal.png&w=40&h=40&scale=crop&cquality=40&location=origin","Wales","FT","UEFA Nations League","","","","","","","","","","","","","","","","","","","","","",""
"June, 2022","Wed, Jun 15","Poland","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/624069","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","UEFA Nations League","Sun, Jun 12","Wales","https://www.espn.com/soccer/team/_/id/578/wales","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/wal.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/624093","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","FT","UEFA Nations League","Thu, Jun 9","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","6 - 1","https://www.espn.com/soccer/match/_/gameId/624126","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","FT","UEFA Nations League","Sat, Jun 4","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 4","https://www.espn.com/soccer/match/_/gameId/624151","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","Netherlands","FT","UEFA Nations League"
"March, 2022","Wed, Mar 30","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/632054","https://www.espn.com/soccer/team/_/id/2845/burkina-faso","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bka.png&w=40&h=40&scale=crop&cquality=40&location=origin","Burkina Faso","International Friendly","Sun, Mar 27","Republic of Ireland","https://www.espn.com/soccer/team/_/id/476/republic-of-ireland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irl.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/629601","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","FT","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"November, 2021","Wed, Nov 17","Wales","https://www.espn.com/soccer/team/_/id/578/wales","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/wal.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/590207","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","FIFA World Cup Qualifying - UEFA","Sun, Nov 14","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 1","https://www.espn.com/soccer/match/_/gameId/590231","https://www.espn.com/soccer/team/_/id/444/estonia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/est.png&w=40&h=40&scale=crop&cquality=40&location=origin","Estonia","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
"October, 2021","Sun, Oct 10","Italy","https://www.espn.com/soccer/team/_/id/162/italy","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ita.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/589984","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","UEFA Nations League","Fri, Oct 8","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 3","https://www.espn.com/soccer/match/_/gameId/589986","https://www.espn.com/soccer/team/_/id/478/france","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fra.png&w=40&h=40&scale=crop&cquality=40&location=origin","France","FT","UEFA Nations League","","","","","","","","","","","","","","","","","","","","","",""
"September, 2021","Thu, Sep 9","Belarus","https://www.espn.com/soccer/team/_/id/583/belarus","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/blr.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/590300","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","FIFA World Cup Qualifying - UEFA","Mon, Sep 6","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/590323","https://www.espn.com/soccer/team/_/id/450/czech-republic","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cze.png&w=40&h=40&scale=crop&cquality=40&location=origin","Czech Republic","FT","FIFA World Cup Qualifying - UEFA","Fri, Sep 3","Estonia","https://www.espn.com/soccer/team/_/id/444/estonia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/est.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 5","https://www.espn.com/soccer/match/_/gameId/590348","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","",""
"July, 2021","Sat, Jul 3","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/560299","https://www.espn.com/soccer/team/_/id/162/italy","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ita.png&w=40&h=40&scale=crop&cquality=40&location=origin","Italy","UEFA European Championship","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"June, 2021","Mon, Jun 28","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/560305","https://www.espn.com/soccer/team/_/id/482/portugal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/por.png&w=40&h=40&scale=crop&cquality=40&location=origin","Portugal","UEFA European Championship","Tue, Jun 22","Finland","https://www.espn.com/soccer/team/_/id/458/finland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fin.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/560316","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","FT","UEFA European Championship","Fri, Jun 18","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/560328","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","FT","UEFA European Championship","Sun, Jun 13","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/560342","https://www.espn.com/soccer/team/_/id/454/russia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/rus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Russia","FT","UEFA European Championship"
"March, 2021","Wed, Mar 31","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","8 - 0","https://www.espn.com/soccer/match/_/gameId/590381","https://www.espn.com/soccer/team/_/id/583/belarus","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/blr.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belarus","FIFA World Cup Qualifying - UEFA","Sun, Mar 28","Czech Republic","https://www.espn.com/soccer/team/_/id/450/czech-republic","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cze.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/590404","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
