"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3"
"November, 2022","Thu, Nov 10","Costa Rica","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/654564","https://www.espn.com/soccer/team/_/id/657/nigeria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nga.png&w=40&h=40&scale=crop&cquality=40&location=origin","Nigeria","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Tue, Sep 27","Uzbekistan","https://www.espn.com/soccer/team/_/id/2570/uzbekistan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uzb.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/652269","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Costa Rica","International Friendly","Fri, Sep 23","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/652568","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Costa Rica","FT","International Friendly","","","","","","","","","","",""
"June, 2022","Wed, Jun 15","Costa Rica","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/633779","https://www.espn.com/soccer/team/_/id/2666/new-zealand","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nzl.png&w=40&h=40&scale=crop&cquality=40&location=origin","New Zealand","FIFA World Cup Qualifying - CONCACAF/OFC Playoff","Mon, Jun 6","Costa Rica","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/634294","https://www.espn.com/soccer/team/_/id/2728/martinique","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/marq.png&w=40&h=40&scale=crop&cquality=40&location=origin","Martinique","FT","CONCACAF Nations League","Fri, Jun 3","Panama","https://www.espn.com/soccer/team/_/id/2659/panama","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pan.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/634290","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Costa Rica","FT","CONCACAF Nations League"
"March, 2022","Thu, Mar 31","Costa Rica","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/606044","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","United States","FIFA World Cup Qualifying - CONCACAF","Mon, Mar 28","El Salvador","https://www.espn.com/soccer/team/_/id/2650/el-salvador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/slv.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/606045","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Costa Rica","FT","FIFA World Cup Qualifying - CONCACAF","Fri, Mar 25","Costa Rica","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/606049","https://www.espn.com/soccer/team/_/id/206/canada","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/can.png&w=40&h=40&scale=crop&cquality=40&location=origin","Canada","FT","FIFA World Cup Qualifying - CONCACAF"
"February, 2022","Thu, Feb 3","Jamaica","https://www.espn.com/soccer/team/_/id/1038/jamaica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jam.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/606054","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Costa Rica","FIFA World Cup Qualifying - CONCACAF","","","","","","","","","","","","","","","","","","","","","",""
"January, 2022","Mon, Jan 31","Mexico","https://www.espn.com/soccer/team/_/id/203/mexico","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mex.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/606057","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Costa Rica","FIFA World Cup Qualifying - CONCACAF","Fri, Jan 28","Costa Rica","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/606064","https://www.espn.com/soccer/team/_/id/2659/panama","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pan.png&w=40&h=40&scale=crop&cquality=40&location=origin","Panama","FT","FIFA World Cup Qualifying - CONCACAF","","","","","","","","","","",""
"November, 2021","Wed, Nov 17","Costa Rica","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/606066","https://www.espn.com/soccer/team/_/id/215/honduras","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hon.png&w=40&h=40&scale=crop&cquality=40&location=origin","Honduras","FIFA World Cup Qualifying - CONCACAF","Sat, Nov 13","Canada","https://www.espn.com/soccer/team/_/id/206/canada","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/can.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/606069","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Costa Rica","FT","FIFA World Cup Qualifying - CONCACAF","","","","","","","","","","",""
"October, 2021","Thu, Oct 14","United States","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/606073","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Costa Rica","FIFA World Cup Qualifying - CONCACAF","Mon, Oct 11","Costa Rica","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/606078","https://www.espn.com/soccer/team/_/id/2650/el-salvador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/slv.png&w=40&h=40&scale=crop&cquality=40&location=origin","El Salvador","FT","FIFA World Cup Qualifying - CONCACAF","Fri, Oct 8","Honduras","https://www.espn.com/soccer/team/_/id/215/honduras","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hon.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/606082","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Costa Rica","FT","FIFA World Cup Qualifying - CONCACAF"
"September, 2021","Thu, Sep 9","Costa Rica","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/606086","https://www.espn.com/soccer/team/_/id/1038/jamaica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jam.png&w=40&h=40&scale=crop&cquality=40&location=origin","Jamaica","FIFA World Cup Qualifying - CONCACAF","Mon, Sep 6","Costa Rica","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/606091","https://www.espn.com/soccer/team/_/id/203/mexico","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mex.png&w=40&h=40&scale=crop&cquality=40&location=origin","Mexico","FT","FIFA World Cup Qualifying - CONCACAF","Fri, Sep 3","Panama","https://www.espn.com/soccer/team/_/id/2659/panama","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pan.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/606093","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Costa Rica","FT","FIFA World Cup Qualifying - CONCACAF"
"August, 2021","Sun, Aug 22","El Salvador","https://www.espn.com/soccer/team/_/id/2650/el-salvador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/slv.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/616362","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Costa Rica","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
