"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","AnchorLink 4","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3","matchTeams 4","AnchorLink 13","AnchorLink href 19","Image src 7","AnchorLink 14","AnchorLink href 21","AnchorLink href 22","Image src 8","AnchorLink 15","AnchorLink 16","Table__TD 4"
"November, 2022","Wed, Nov 16","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/635832","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","Croatia","FT","International Friendly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Mon, Sep 26","Austria","https://www.espn.com/soccer/team/_/id/474/austria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aut.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 3","https://www.espn.com/soccer/match/_/gameId/624022","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","Croatia","FT","UEFA Nations League","Fri, Sep 23","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/624051","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","FT","UEFA Nations League","","","","","","","","","","","","","","","","","","","","","",""
"June, 2022","Tue, Jun 14","France","https://www.espn.com/soccer/team/_/id/478/france","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fra.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/624070","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","Croatia","FT","UEFA Nations League","Sat, Jun 11","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/624094","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","Croatia","FT","UEFA Nations League","Tue, Jun 7","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/624123","https://www.espn.com/soccer/team/_/id/478/france","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fra.png&w=40&h=40&scale=crop&cquality=40&location=origin","France","FT","UEFA Nations League","Sat, Jun 4","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/624148","https://www.espn.com/soccer/team/_/id/474/austria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aut.png&w=40&h=40&scale=crop&cquality=40&location=origin","Austria","FT","UEFA Nations League"
"March, 2022","Tue, Mar 29","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/629602","https://www.espn.com/soccer/team/_/id/462/bulgaria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bul.png&w=40&h=40&scale=crop&cquality=40&location=origin","Bulgaria","FT","International Friendly","Sat, Mar 26","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/630759","https://www.espn.com/soccer/team/_/id/472/slovenia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/svn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Slovenia","FT","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"November, 2021","Sun, Nov 14","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/590228","https://www.espn.com/soccer/team/_/id/454/russia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/rus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Russia","FT","FIFA World Cup Qualifying - UEFA","Fri, Nov 12","Malta","https://www.espn.com/soccer/team/_/id/453/malta","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mlt.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 7","https://www.espn.com/soccer/match/_/gameId/590243","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","Croatia","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
"October, 2021","Tue, Oct 12","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/590273","https://www.espn.com/soccer/team/_/id/468/slovakia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/svk.png&w=40&h=40&scale=crop&cquality=40&location=origin","Slovakia","FT","FIFA World Cup Qualifying - UEFA","Sat, Oct 9","Cyprus","https://www.espn.com/soccer/team/_/id/445/cyprus","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cyp.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/590290","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","Croatia","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
"September, 2021","Wed, Sep 8","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/590319","https://www.espn.com/soccer/team/_/id/472/slovenia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/svn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Slovenia","FT","FIFA World Cup Qualifying - UEFA","Sun, Sep 5","Slovakia","https://www.espn.com/soccer/team/_/id/468/slovakia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/svk.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/590333","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","Croatia","FT","FIFA World Cup Qualifying - UEFA","Thu, Sep 2","Russia","https://www.espn.com/soccer/team/_/id/454/russia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/rus.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/590358","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","Croatia","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","",""
"July, 2021","Thu, Jul 1","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 3","https://www.espn.com/soccer/match/_/gameId/606315","https://www.espn.com/soccer/team/_/id/4398/qatar","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/qat.png&w=40&h=40&scale=crop&cquality=40&location=origin","Qatar","FT","Non-FIFA Friendly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"June, 2021","Tue, Jun 29","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 5","https://www.espn.com/soccer/match/_/gameId/590384","https://www.espn.com/soccer/team/_/id/453/malta","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","AET","UEFA European Championship","Wed, Jun 23","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 1","https://www.espn.com/soccer/match/_/gameId/590409","https://www.espn.com/soccer/team/_/id/445/cyprus","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sco.png&w=40&h=40&scale=crop&cquality=40&location=origin","Scotland","FT","UEFA European Championship","Sat, Jun 19","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/560324","https://www.espn.com/soccer/team/_/id/450/czech-republic","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cze.png&w=40&h=40&scale=crop&cquality=40&location=origin","Czech Republic","FT","UEFA European Championship","Sun, Jun 13","England","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/560338","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","Croatia","FT","UEFA European Championship"
"March, 2021","Wed, Mar 31","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/590384","https://www.espn.com/soccer/team/_/id/453/malta","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mlt.png&w=40&h=40&scale=crop&cquality=40&location=origin","Malta","FT","FIFA World Cup Qualifying - UEFA","Sun, Mar 28","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/590409","https://www.espn.com/soccer/team/_/id/445/cyprus","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cyp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Cyprus","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
