"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","AnchorLink 4","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3","matchTeams 4","AnchorLink 13","AnchorLink href 19","Image src 7","AnchorLink 14","AnchorLink href 21","AnchorLink href 22","Image src 8","AnchorLink 15","AnchorLink 16","Table__TD 4"
"September, 2022","Mon, Sep 26","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/624023","https://www.espn.com/soccer/team/_/id/478/france","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fra.png&w=40&h=40&scale=crop&cquality=40&location=origin","France","FT","UEFA Nations League","Fri, Sep 23","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/624051","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","FT","UEFA Nations League","","","","","","","","","","","","","","","","","","","","","",""
"June, 2022","Tue, Jun 14","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/624068","https://www.espn.com/soccer/team/_/id/474/austria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aut.png&w=40&h=40&scale=crop&cquality=40&location=origin","Austria","FT","UEFA Nations League","Sat, Jun 11","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/624094","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","Croatia","FT","UEFA Nations League","Tue, Jun 7","Austria","https://www.espn.com/soccer/team/_/id/474/austria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aut.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/624122","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","FT","UEFA Nations League","Sat, Jun 4","France","https://www.espn.com/soccer/team/_/id/478/france","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fra.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/624150","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","FT","UEFA Nations League"
"March, 2022","Wed, Mar 30","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/627972","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","FT","International Friendly","Sun, Mar 27","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 2","https://www.espn.com/soccer/match/_/gameId/627969","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","FT","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"November, 2021","Tue, Nov 16","Scotland","https://www.espn.com/soccer/team/_/id/580/scotland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sco.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/590215","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","FT","FIFA World Cup Qualifying - UEFA","Sat, Nov 13","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 1","https://www.espn.com/soccer/match/_/gameId/590238","https://www.espn.com/soccer/team/_/id/447/faroe-islands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fro.png&w=40&h=40&scale=crop&cquality=40&location=origin","Faroe Islands","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
"October, 2021","Wed, Oct 13","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/590254","https://www.espn.com/soccer/team/_/id/474/austria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aut.png&w=40&h=40&scale=crop&cquality=40&location=origin","Austria","FT","FIFA World Cup Qualifying - UEFA","Sun, Oct 10","Moldova","https://www.espn.com/soccer/team/_/id/483/moldova","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mda.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 4","https://www.espn.com/soccer/match/_/gameId/590278","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
"September, 2021","Wed, Sep 8","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","5 - 0","https://www.espn.com/soccer/match/_/gameId/590312","https://www.espn.com/soccer/team/_/id/461/israel","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/isr.png&w=40&h=40&scale=crop&cquality=40&location=origin","Israel","FT","FIFA World Cup Qualifying - UEFA","Sun, Sep 5","Faroe Islands","https://www.espn.com/soccer/team/_/id/447/faroe-islands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fro.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/590334","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","FT","FIFA World Cup Qualifying - UEFA","Thu, Sep 2","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/590365","https://www.espn.com/soccer/team/_/id/580/scotland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sco.png&w=40&h=40&scale=crop&cquality=40&location=origin","Scotland","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","",""
"July, 2021","Thu, Jul 8","England","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/560295","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","AET","UEFA European Championship","Sun, Jul 4","Czech Republic","https://www.espn.com/soccer/team/_/id/450/czech-republic","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cze.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/560298","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","FT","UEFA European Championship","","","","","","","","","","","","","","","","","","","","","",""
"June, 2021","Sun, Jun 27","Wales","https://www.espn.com/soccer/team/_/id/578/wales","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/wal.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 4","https://www.espn.com/soccer/match/_/gameId/560307","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","FT","UEFA European Championship","Tue, Jun 22","Russia","https://www.espn.com/soccer/team/_/id/454/russia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/rus.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 4","https://www.espn.com/soccer/match/_/gameId/560317","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","FT","UEFA European Championship","Fri, Jun 18","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/560328","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","FT","UEFA European Championship","Sun, Jun 13","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/560341","https://www.espn.com/soccer/team/_/id/458/finland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fin.png&w=40&h=40&scale=crop&cquality=40&location=origin","Finland","FT","UEFA European Championship"
"April, 2021","Thu, Apr 1","Austria","https://www.espn.com/soccer/team/_/id/474/austria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aut.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 4","https://www.espn.com/soccer/match/_/gameId/590369","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","Denmark","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"March, 2021","Mon, Mar 29","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","8 - 0","https://www.espn.com/soccer/match/_/gameId/590401","https://www.espn.com/soccer/team/_/id/483/moldova","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mda.png&w=40&h=40&scale=crop&cquality=40&location=origin","Moldova","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
