"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3"
"November, 2022","Mon, Nov 21","Qatar","https://www.espn.com/soccer/team/_/id/4398/qatar","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/qat.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/633790","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","FIFA World Cup","Sun, Nov 13","Ecuador","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/654565","https://www.espn.com/soccer/team/_/id/4375/iraq","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irq.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iraq","FT","International Friendly","","","","","","","","","","",""
"September, 2022","Tue, Sep 27","Japan","https://www.espn.com/soccer/team/_/id/627/japan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jpn.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/650193","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","International Friendly","Sat, Sep 24","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/634974","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","FT","International Friendly","","","","","","","","","","",""
"June, 2022","Sun, Jun 12","Ecuador","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/634819","https://www.espn.com/soccer/team/_/id/2597/cape-verde-islands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cpv.png&w=40&h=40&scale=crop&cquality=40&location=origin","Cape Verde Islands","International Friendly","Mon, Jun 6","Mexico","https://www.espn.com/soccer/team/_/id/203/mexico","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mex.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/634279","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","FT","International Friendly","Fri, Jun 3","Ecuador","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/634289","https://www.espn.com/soccer/team/_/id/657/nigeria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nga.png&w=40&h=40&scale=crop&cquality=40&location=origin","Nigeria","FT","International Friendly"
"March, 2022","Wed, Mar 30","Ecuador","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/561009","https://www.espn.com/soccer/team/_/id/202/argentina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/arg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Argentina","FIFA World Cup Qualifying - CONMEBOL","Fri, Mar 25","Paraguay","https://www.espn.com/soccer/team/_/id/210/paraguay","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/par.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 1","https://www.espn.com/soccer/match/_/gameId/561016","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","FT","FIFA World Cup Qualifying - CONMEBOL","","","","","","","","","","",""
"February, 2022","Wed, Feb 2","Peru","https://www.espn.com/soccer/team/_/id/211/peru","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/per.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/561021","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","FIFA World Cup Qualifying - CONMEBOL","","","","","","","","","","","","","","","","","","","","","",""
"January, 2022","Fri, Jan 28","Ecuador","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/561026","https://www.espn.com/soccer/team/_/id/205/brazil","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bra.png&w=40&h=40&scale=crop&cquality=40&location=origin","Brazil","FIFA World Cup Qualifying - CONMEBOL","","","","","","","","","","","","","","","","","","","","","",""
"December, 2021","Sun, Dec 5","El Salvador","https://www.espn.com/soccer/team/_/id/2650/el-salvador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/slv.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/621740","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"November, 2021","Wed, Nov 17","Chile","https://www.espn.com/soccer/team/_/id/207/chile","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/chi.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/561030","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","FIFA World Cup Qualifying - CONMEBOL","Fri, Nov 12","Ecuador","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/561038","https://www.espn.com/soccer/team/_/id/213/venezuela","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ven.png&w=40&h=40&scale=crop&cquality=40&location=origin","Venezuela","FT","FIFA World Cup Qualifying - CONMEBOL","","","","","","","","","","",""
"October, 2021","Thu, Oct 28","Mexico","https://www.espn.com/soccer/team/_/id/203/mexico","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mex.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 3","https://www.espn.com/soccer/match/_/gameId/618590","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","International Friendly","Fri, Oct 15","Colombia","https://www.espn.com/soccer/team/_/id/208/colombia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/col.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/561039","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","FT","FIFA World Cup Qualifying - CONMEBOL","Mon, Oct 11","Venezuela","https://www.espn.com/soccer/team/_/id/213/venezuela","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ven.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/561075","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","FT","FIFA World Cup Qualifying - CONMEBOL"
"September, 2021","Fri, Sep 10","Uruguay","https://www.espn.com/soccer/team/_/id/212/uruguay","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uru.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/561051","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","FIFA World Cup Qualifying - CONMEBOL","Mon, Sep 6","Ecuador","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/561071","https://www.espn.com/soccer/team/_/id/207/chile","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/chi.png&w=40&h=40&scale=crop&cquality=40&location=origin","Chile","FT","FIFA World Cup Qualifying - CONMEBOL","Fri, Sep 3","Ecuador","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/561057","https://www.espn.com/soccer/team/_/id/210/paraguay","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/par.png&w=40&h=40&scale=crop&cquality=40&location=origin","Paraguay","FT","FIFA World Cup Qualifying - CONMEBOL"
