"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3","matchTeams 4","AnchorLink 13","AnchorLink href 19","Image src 7","AnchorLink 14","AnchorLink href 21","AnchorLink href 22","Image src 8","AnchorLink 15","AnchorLink 16","Table__TD 4"
"November, 2022","Thu, Nov 17","Oman","https://www.espn.com/soccer/team/_/id/2841/oman","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/oma.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/654019","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","International Friendly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Tue, Sep 27","England","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 3","https://www.espn.com/soccer/match/_/gameId/624017","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","UEFA Nations League","Sat, Sep 24","Germany","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/624041","https://www.espn.com/soccer/team/_/id/480/hungary","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Hungary","FT","UEFA Nations League","","","","","","","","","","","","","","","","","","","","","",""
"June, 2022","Wed, Jun 15","Germany","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","5 - 2","https://www.espn.com/soccer/match/_/gameId/624061","https://www.espn.com/soccer/team/_/id/162/italy","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ita.png&w=40&h=40&scale=crop&cquality=40&location=origin","Italy","UEFA Nations League","Sun, Jun 12","Hungary","https://www.espn.com/soccer/team/_/id/480/hungary","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hun.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/624087","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","FT","UEFA Nations League","Wed, Jun 8","Germany","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/624112","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","England","FT","UEFA Nations League","Sun, Jun 5","Italy","https://www.espn.com/soccer/team/_/id/162/italy","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ita.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/624138","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","FT","UEFA Nations League"
"March, 2022","Wed, Mar 30","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/627970","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","International Friendly","Sun, Mar 27","Germany","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/625235","https://www.espn.com/soccer/team/_/id/461/israel","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/isr.png&w=40&h=40&scale=crop&cquality=40&location=origin","Israel","FT","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"November, 2021","Mon, Nov 15","Armenia","https://www.espn.com/soccer/team/_/id/579/armenia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fifa.armenia.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 4","https://www.espn.com/soccer/match/_/gameId/590224","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","FIFA World Cup Qualifying - UEFA","Fri, Nov 12","Germany","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","9 - 0","https://www.espn.com/soccer/match/_/gameId/590245","https://www.espn.com/soccer/team/_/id/589/liechtenstein","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lie.png&w=40&h=40&scale=crop&cquality=40&location=origin","Liechtenstein","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
"October, 2021","Tue, Oct 12","North Macedonia","https://www.espn.com/soccer/team/_/id/463/north-macedonia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mkd.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 4","https://www.espn.com/soccer/match/_/gameId/590267","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","FIFA World Cup Qualifying - UEFA","Sat, Oct 9","Germany","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/590295","https://www.espn.com/soccer/team/_/id/473/romania","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/rom.png&w=40&h=40&scale=crop&cquality=40&location=origin","Romania","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
"September, 2021","Thu, Sep 9","Iceland","https://www.espn.com/soccer/team/_/id/470/iceland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/isl.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 4","https://www.espn.com/soccer/match/_/gameId/590303","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","FIFA World Cup Qualifying - UEFA","Mon, Sep 6","Germany","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","6 - 0","https://www.espn.com/soccer/match/_/gameId/590322","https://www.espn.com/soccer/team/_/id/579/armenia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fifa.armenia.png&w=40&h=40&scale=crop&cquality=40&location=origin","Armenia","FT","FIFA World Cup Qualifying - UEFA","Fri, Sep 3","Liechtenstein","https://www.espn.com/soccer/team/_/id/589/liechtenstein","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lie.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/590350","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","",""
"June, 2021","Wed, Jun 30","England","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/560302","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","UEFA European Championship","Thu, Jun 24","Germany","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/560312","https://www.espn.com/soccer/team/_/id/480/hungary","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Hungary","FT","UEFA European Championship","Sun, Jun 20","Portugal","https://www.espn.com/soccer/team/_/id/482/portugal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/por.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 4","https://www.espn.com/soccer/match/_/gameId/560322","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","FT","UEFA European Championship","Wed, Jun 16","France","https://www.espn.com/soccer/team/_/id/478/france","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fra.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/560333","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","FT","UEFA European Championship"
"April, 2021","Thu, Apr 1","Germany","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/590378","https://www.espn.com/soccer/team/_/id/463/north-macedonia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mkd.png&w=40&h=40&scale=crop&cquality=40&location=origin","North Macedonia","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"March, 2021","Mon, Mar 29","Romania","https://www.espn.com/soccer/team/_/id/473/romania","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/rom.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/590394","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","Germany","FIFA World Cup Qualifying - UEFA","Fri, Mar 26","Germany","https://www.espn.com/soccer/team/_/id/481/germany","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ger.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/590421","https://www.espn.com/soccer/team/_/id/470/iceland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/isl.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iceland","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
