"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2"
"November, 2022","Mon, Nov 21","England","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","6 - 2","https://www.espn.com/soccer/match/_/gameId/633789","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","FIFA World Cup","Fri, Nov 11","Iran","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/655819","https://www.espn.com/soccer/team/_/id/2658/nicaragua","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nca.png&w=40&h=40&scale=crop&cquality=40&location=origin","Nicaragua","FT","International Friendly"
"September, 2022","Tue, Sep 27","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/653809","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","International Friendly","Sat, Sep 24","Iran","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/645882","https://www.espn.com/soccer/team/_/id/212/uruguay","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uru.png&w=40&h=40&scale=crop&cquality=40&location=origin","Uruguay","FT","International Friendly"
"June, 2022","Mon, Jun 13","Iran","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/637060","https://www.espn.com/soccer/team/_/id/624/algeria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/alg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Algeria","International Friendly","","","","","","","","","","",""
"March, 2022","Tue, Mar 29","Iran","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/611249","https://www.espn.com/soccer/team/_/id/4388/lebanon","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lib.png&w=40&h=40&scale=crop&cquality=40&location=origin","Lebanon","FIFA World Cup Qualifying - AFC","Thu, Mar 24","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/611252","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","FT","FIFA World Cup Qualifying - AFC"
"February, 2022","Tue, Feb 1","Iran","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/611263","https://www.espn.com/soccer/team/_/id/4397/united-arab-emirates","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uae.png&w=40&h=40&scale=crop&cquality=40&location=origin","United Arab Emirates","FIFA World Cup Qualifying - AFC","","","","","","","","","","",""
"January, 2022","Thu, Jan 27","Iran","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/611265","https://www.espn.com/soccer/team/_/id/4375/iraq","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irq.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iraq","FIFA World Cup Qualifying - AFC","","","","","","","","","","",""
"November, 2021","Wed, Nov 17","Syria","https://www.espn.com/soccer/team/_/id/4380/syria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/syr.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/611271","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","FIFA World Cup Qualifying - AFC","Thu, Nov 11","Lebanon","https://www.espn.com/soccer/team/_/id/4388/lebanon","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lib.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/611276","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","FT","FIFA World Cup Qualifying - AFC"
"October, 2021","Tue, Oct 12","Iran","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/611286","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","South Korea","FIFA World Cup Qualifying - AFC","Fri, Oct 8","United Arab Emirates","https://www.espn.com/soccer/team/_/id/4397/united-arab-emirates","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uae.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/611288","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","FT","FIFA World Cup Qualifying - AFC"
"September, 2021","Wed, Sep 8","Iraq","https://www.espn.com/soccer/team/_/id/4375/iraq","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irq.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/611295","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","FIFA World Cup Qualifying - AFC","Fri, Sep 3","Iran","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/611304","https://www.espn.com/soccer/team/_/id/4380/syria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/syr.png&w=40&h=40&scale=crop&cquality=40&location=origin","Syria","FT","FIFA World Cup Qualifying - AFC"
"June, 2021","Wed, Jun 16","Iran","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/553272","https://www.espn.com/soccer/team/_/id/4375/iraq","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irq.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iraq","FIFA World Cup Qualifying - AFC","Fri, Jun 11","Cambodia","https://www.espn.com/soccer/team/_/id/5518/cambodia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cam.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 10","https://www.espn.com/soccer/match/_/gameId/553305","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","FT","FIFA World Cup Qualifying - AFC"
"March, 2021","Tue, Mar 30","Iran","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/597705","https://www.espn.com/soccer/team/_/id/4380/syria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/syr.png&w=40&h=40&scale=crop&cquality=40&location=origin","Syria","International Friendly","","","","","","","","","","",""
"November, 2020","Fri, Nov 13","Bosnia and Herzegovina","https://www.espn.com/soccer/team/_/id/452/bosnia-and-herzegovina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bih.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/587394","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","International Friendly","","","","","","","","","","",""
"October, 2020","Thu, Oct 8","Uzbekistan","https://www.espn.com/soccer/team/_/id/2570/uzbekistan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uzb.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/573689","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","International Friendly","","","","","","","","","","",""
"November, 2019","Thu, Nov 14","Iraq","https://www.espn.com/soccer/team/_/id/4375/iraq","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irq.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/553196","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","FIFA World Cup Qualifying - AFC","","","","","","","","","","",""
"October, 2019","Wed, Oct 16","Bahrain","https://www.espn.com/soccer/team/_/id/4381/bahrain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bhr.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/553209","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","FIFA World Cup Qualifying - AFC","Thu, Oct 10","Iran","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","14 - 0","https://www.espn.com/soccer/match/_/gameId/553223","https://www.espn.com/soccer/team/_/id/5518/cambodia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cam.png&w=40&h=40&scale=crop&cquality=40&location=origin","Cambodia","FT","FIFA World Cup Qualifying - AFC"
