"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","AnchorLink 4","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3"
"November, 2022","Fri, Nov 18","Morocco","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/656217","https://www.espn.com/soccer/team/_/id/584/georgia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/geo.png&w=40&h=40&scale=crop&cquality=40&location=origin","Georgia","FT","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Wed, Sep 28","Paraguay","https://www.espn.com/soccer/team/_/id/210/paraguay","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/par.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/650128","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","Morocco","FT","International Friendly","Sat, Sep 24","Morocco","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/650194","https://www.espn.com/soccer/team/_/id/207/chile","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/chi.png&w=40&h=40&scale=crop&cquality=40&location=origin","Chile","FT","International Friendly","","","","","","","","","","",""
"August, 2022","Tue, Aug 23","Jamaica","https://www.espn.com/soccer/team/_/id/1038/jamaica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jam.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/652189","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","Morocco","FT","International Friendly","Sun, Aug 21","Qatar","https://www.espn.com/soccer/team/_/id/4398/qatar","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/qat.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/652182","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","Morocco","FT","International Friendly","","","","","","","","","","",""
"June, 2022","Tue, Jun 14","Liberia","https://www.espn.com/soccer/team/_/id/4205/liberia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lbr.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/634719","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","Morocco","FT","Africa Cup of Nations qualifying","Fri, Jun 10","Morocco","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/634690","https://www.espn.com/soccer/team/_/id/467/south-africa","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/rsa.png&w=40&h=40&scale=crop&cquality=40&location=origin","South Africa","FT","Africa Cup of Nations qualifying","Thu, Jun 2","United States","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/634539","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","Morocco","FT","International Friendly"
"March, 2022","Wed, Mar 30","Morocco","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 1","https://www.espn.com/soccer/match/_/gameId/629215","https://www.espn.com/soccer/team/_/id/2850/congo-dr","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/rdc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Congo DR","FT","FIFA World Cup Qualifying - CAF","Fri, Mar 25","Congo DR","https://www.espn.com/soccer/team/_/id/2850/congo-dr","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/rdc.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/629220","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","Morocco","FT","FIFA World Cup Qualifying - CAF","","","","","","","","","","",""
"January, 2022","Sun, Jan 30","Egypt","https://www.espn.com/soccer/team/_/id/2620/egypt","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/egy.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/629158","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","Morocco","AET","Africa Cup of Nations","Wed, Jan 26","Morocco","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/629163","https://www.espn.com/soccer/team/_/id/4325/malawi","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mwi.png&w=40&h=40&scale=crop&cquality=40&location=origin","Malawi","FT","Africa Cup of Nations","Wed, Jan 19","Gabon","https://www.espn.com/soccer/team/_/id/4231/gabon","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gab.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/618244","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","Morocco","FT","Africa Cup of Nations"
"November, 2021","Wed, Nov 17","Morocco","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/601952","https://www.espn.com/soccer/team/_/id/2847/guinea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gui.png&w=40&h=40&scale=crop&cquality=40&location=origin","Guinea","FT","FIFA World Cup Qualifying - CAF","Sat, Nov 13","Sudan","https://www.espn.com/soccer/team/_/id/4319/sudan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sud.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/601975","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","Morocco","FT","FIFA World Cup Qualifying - CAF","","","","","","","","","","",""
"October, 2021","Wed, Oct 13","Guinea","https://www.espn.com/soccer/team/_/id/2847/guinea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gui.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 4","https://www.espn.com/soccer/match/_/gameId/602035","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","Morocco","FT","FIFA World Cup Qualifying - CAF","Sun, Oct 10","Guinea-Bissau","https://www.espn.com/soccer/team/_/id/8602/guinea-bissau","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gnb.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/601995","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","Morocco","FT","FIFA World Cup Qualifying - CAF","Thu, Oct 7","Morocco","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","5 - 0","https://www.espn.com/soccer/match/_/gameId/602010","https://www.espn.com/soccer/team/_/id/8602/guinea-bissau","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gnb.png&w=40&h=40&scale=crop&cquality=40&location=origin","Guinea-Bissau","FT","FIFA World Cup Qualifying - CAF"
"September, 2021","Fri, Sep 3","Morocco","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/602058","https://www.espn.com/soccer/team/_/id/4319/sudan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sud.png&w=40&h=40&scale=crop&cquality=40&location=origin","Sudan","FT","FIFA World Cup Qualifying - CAF","","","","","","","","","","","","","","","","","","","","","",""
"June, 2021","Sun, Jun 13","Morocco","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/602729","https://www.espn.com/soccer/team/_/id/2845/burkina-faso","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bka.png&w=40&h=40&scale=crop&cquality=40&location=origin","Burkina Faso","FT","International Friendly","Wed, Jun 9","Morocco","https://www.espn.com/soccer/team/_/id/2869/morocco","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mar.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/602726","https://www.espn.com/soccer/team/_/id/4469/ghana","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gha.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ghana","FT","International Friendly","","","","","","","","","","",""
