"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3"
"November, 2022","Thu, Nov 17","Poland","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/654386","https://www.espn.com/soccer/team/_/id/207/chile","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/chi.png&w=40&h=40&scale=crop&cquality=40&location=origin","Chile","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Mon, Sep 26","Wales","https://www.espn.com/soccer/team/_/id/578/wales","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/wal.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/624025","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","UEFA Nations League","Fri, Sep 23","Poland","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/624054","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","Netherlands","FT","UEFA Nations League","","","","","","","","","","",""
"June, 2022","Wed, Jun 15","Poland","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/624069","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","Belgium","UEFA Nations League","Sun, Jun 12","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/624099","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","FT","UEFA Nations League","Thu, Jun 9","Belgium","https://www.espn.com/soccer/team/_/id/459/belgium","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bel.png&w=40&h=40&scale=crop&cquality=40&location=origin","6 - 1","https://www.espn.com/soccer/match/_/gameId/624126","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","FT","UEFA Nations League"
"March, 2022","Wed, Mar 30","Poland","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/633466","https://www.espn.com/soccer/team/_/id/466/sweden","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/swe.png&w=40&h=40&scale=crop&cquality=40&location=origin","Sweden","FIFA World Cup Qualifying - UEFA","Fri, Mar 25","Scotland","https://www.espn.com/soccer/team/_/id/580/scotland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sco.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/633075","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","FT","International Friendly","","","","","","","","","","",""
"November, 2021","Tue, Nov 16","Poland","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/590218","https://www.espn.com/soccer/team/_/id/480/hungary","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Hungary","FIFA World Cup Qualifying - UEFA","Sat, Nov 13","Andorra","https://www.espn.com/soccer/team/_/id/587/andorra","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/and.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 4","https://www.espn.com/soccer/match/_/gameId/590240","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","",""
"October, 2021","Wed, Oct 13","Albania","https://www.espn.com/soccer/team/_/id/585/albania","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/alb.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/590262","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","FIFA World Cup Qualifying - UEFA","Sun, Oct 10","Poland","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","5 - 0","https://www.espn.com/soccer/match/_/gameId/590280","https://www.espn.com/soccer/team/_/id/588/san-marino","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/smr.png&w=40&h=40&scale=crop&cquality=40&location=origin","San Marino","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","",""
"September, 2021","Thu, Sep 9","Poland","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/590301","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","England","FIFA World Cup Qualifying - UEFA","Mon, Sep 6","San Marino","https://www.espn.com/soccer/team/_/id/588/san-marino","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/smr.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 7","https://www.espn.com/soccer/match/_/gameId/590327","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","FT","FIFA World Cup Qualifying - UEFA","Fri, Sep 3","Poland","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 1","https://www.espn.com/soccer/match/_/gameId/590345","https://www.espn.com/soccer/team/_/id/585/albania","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/alb.png&w=40&h=40&scale=crop&cquality=40&location=origin","Albania","FT","FIFA World Cup Qualifying - UEFA"
"June, 2021","Thu, Jun 24","Sweden","https://www.espn.com/soccer/team/_/id/466/sweden","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/swe.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 2","https://www.espn.com/soccer/match/_/gameId/560310","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","UEFA European Championship","Sun, Jun 20","Spain","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/560323","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","FT","UEFA European Championship","Tue, Jun 15","Poland","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/560337","https://www.espn.com/soccer/team/_/id/468/slovakia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/svk.png&w=40&h=40&scale=crop&cquality=40&location=origin","Slovakia","FT","UEFA European Championship"
"April, 2021","Thu, Apr 1","England","https://www.espn.com/soccer/team/_/id/448/england","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eng.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/590379","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
"March, 2021","Mon, Mar 29","Poland","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/570637","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/and.png&w=40&h=40&scale=crop&cquality=40&location=origin","Andorra","FIFA World Cup Qualifying - UEFA","Fri, Mar 26","Hungary","https://www.espn.com/soccer/team/_/id/480/hungary","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hun.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 3","https://www.espn.com/soccer/match/_/gameId/590423","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","",""
