"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3"
"November, 2022","Wed, Nov 16","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/635832","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","Croatia","International Friendly","Thu, Nov 10","Panama","https://www.espn.com/soccer/team/_/id/2659/panama","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pan.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/645230","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","Saudi Arabia","FT","International Friendly","Sun, Nov 6","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/641091","https://www.espn.com/soccer/team/_/id/470/iceland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/isl.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iceland","FT","International Friendly"
"October, 2022","Sun, Oct 30","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/650116","https://www.espn.com/soccer/team/_/id/215/honduras","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hon.png&w=40&h=40&scale=crop&cquality=40&location=origin","Honduras","International Friendly","Wed, Oct 26","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/653961","https://www.espn.com/soccer/team/_/id/585/albania","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/alb.png&w=40&h=40&scale=crop&cquality=40&location=origin","Albania","FT","International Friendly","Sat, Oct 22","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/654358","https://www.espn.com/soccer/team/_/id/463/north-macedonia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mkd.png&w=40&h=40&scale=crop&cquality=40&location=origin","North Macedonia","FT","International Friendly"
"September, 2022","Wed, Sep 28","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/641090","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","United States","International Friendly","Sat, Sep 24","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/634974","https://www.espn.com/soccer/team/_/id/209/ecuador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ecu.png&w=40&h=40&scale=crop&cquality=40&location=origin","Ecuador","FT","International Friendly","","","","","","","","","","",""
"June, 2022","Fri, Jun 10","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/634973","https://www.espn.com/soccer/team/_/id/213/venezuela","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ven.png&w=40&h=40&scale=crop&cquality=40&location=origin","Venezuela","International Friendly","Mon, Jun 6","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/634972","https://www.espn.com/soccer/team/_/id/208/colombia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/col.png&w=40&h=40&scale=crop&cquality=40&location=origin","Colombia","FT","International Friendly","","","","","","","","","","",""
"March, 2022","Wed, Mar 30","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/611246","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","Australia","FIFA World Cup Qualifying - AFC","Thu, Mar 24","China","https://www.espn.com/soccer/team/_/id/658/china","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/chn.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/611255","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","Saudi Arabia","FT","FIFA World Cup Qualifying - AFC","","","","","","","","","","",""
"February, 2022","Tue, Feb 1","Japan","https://www.espn.com/soccer/team/_/id/627/japan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jpn.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/611261","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","Saudi Arabia","FIFA World Cup Qualifying - AFC","","","","","","","","","","","","","","","","","","","","","",""
"January, 2022","Fri, Jan 28","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/611267","https://www.espn.com/soccer/team/_/id/2841/oman","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/oma.png&w=40&h=40&scale=crop&cquality=40&location=origin","Oman","FIFA World Cup Qualifying - AFC","","","","","","","","","","","","","","","","","","","","","",""
"November, 2021","Tue, Nov 16","Vietnam","https://www.espn.com/soccer/team/_/id/7349/vietnam","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/vie.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/611273","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","Saudi Arabia","FIFA World Cup Qualifying - AFC","Thu, Nov 11","Australia","https://www.espn.com/soccer/team/_/id/628/australia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aus.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/611279","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","Saudi Arabia","FT","FIFA World Cup Qualifying - AFC","","","","","","","","","","",""
"October, 2021","Wed, Oct 13","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 2","https://www.espn.com/soccer/match/_/gameId/611283","https://www.espn.com/soccer/team/_/id/658/china","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/chn.png&w=40&h=40&scale=crop&cquality=40&location=origin","China","FIFA World Cup Qualifying - AFC","Fri, Oct 8","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/611289","https://www.espn.com/soccer/team/_/id/627/japan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jpn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Japan","FT","FIFA World Cup Qualifying - AFC","","","","","","","","","","",""
"September, 2021","Wed, Sep 8","Oman","https://www.espn.com/soccer/team/_/id/2841/oman","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/oma.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/611297","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","Saudi Arabia","FIFA World Cup Qualifying - AFC","Fri, Sep 3","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 1","https://www.espn.com/soccer/match/_/gameId/611305","https://www.espn.com/soccer/team/_/id/7349/vietnam","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/vie.png&w=40&h=40&scale=crop&cquality=40&location=origin","Vietnam","FT","FIFA World Cup Qualifying - AFC","","","","","","","","","","",""
