"Table__Title","matchTeams","AnchorLink","AnchorLink href","AnchorLink href 2","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","AnchorLink href 5","AnchorLink 4","AnchorLink href 6","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","AnchorLink href 8","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink href 11","AnchorLink 8","AnchorLink href 12","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","AnchorLink href 14","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","gameNote","AnchorLink 11","AnchorLink href 17","AnchorLink 12","AnchorLink href 18","Table__TD 3","gameNote 2","AnchorLink href 19","Image src 7","AnchorLink 13","AnchorLink href 20","AnchorLink href 21","Image src 8","matchTeams 4","AnchorLink 14","AnchorLink href 22","AnchorLink 15","AnchorLink 16","AnchorLink href 24","Table__TD 4","matchTeams 5","AnchorLink 17","AnchorLink href 25","Image src 9","AnchorLink 18","AnchorLink href 27","AnchorLink href 28","Image src 10","AnchorLink 19","AnchorLink 20"
"November, 2022","Tue, Nov 22","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/633788","https://www.espn.com/soccer/team/_/id/449/netherlands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ned.png&w=40&h=40&scale=crop&cquality=40&location=origin","Netherlands","https://www.espn.com/soccer/team/_/id/449/netherlands","FT","https://www.espn.com/soccer/match/_/gameId/633788","FIFA World Cup","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Tue, Sep 27","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/653809","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","https://www.espn.com/soccer/team/_/id/469/iran","FT","https://www.espn.com/soccer/match/_/gameId/653809","International Friendly","Sun, Sep 25","Bolivia","https://www.espn.com/soccer/team/_/id/204/bolivia","https://www.espn.com/soccer/team/_/id/204/bolivia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bol.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/652268","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","FT","https://www.espn.com/soccer/match/_/gameId/652268","International Friendly","Sat, Sep 3","Guinea","https://www.espn.com/soccer/team/_/id/2847/guinea","https://www.espn.com/soccer/team/_/id/2847/guinea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gui.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/651276","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","2nd Leg · Senegal wins 2-1 on aggregate","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","FT","https://www.espn.com/soccer/match/_/gameId/651276","African Nations Championship Qualifying","","","","","","","","","","","","","","","","","","","","","","","",""
"August, 2022","Sun, Aug 28","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","","","","","","","Guinea","https://www.espn.com/soccer/team/_/id/2847/guinea","FT","https://www.espn.com/soccer/match/_/gameId/651267","African Nations Championship Qualifying","","","","","","","","","","","","","","","","","","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/651267","https://www.espn.com/soccer/team/_/id/2847/guinea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gui.png&w=40&h=40&scale=crop&cquality=40&location=origin","1st Leg","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"July, 2022","Sun, Jul 31","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://www.espn.com/soccer/team/_/id/4277/zambia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/zam.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 3","https://www.espn.com/soccer/match/_/gameId/648792","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","Liberia","https://www.espn.com/soccer/team/_/id/4205/liberia","FT","https://www.espn.com/soccer/match/_/gameId/645079","African Nations Championship Qualifying","Mon, Jul 25","Liberia","https://www.espn.com/soccer/team/_/id/4205/liberia","https://www.espn.com/soccer/team/_/id/4205/liberia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lbr.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/645066","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","FT","https://www.espn.com/soccer/match/_/gameId/645066","African Nations Championship Qualifying","Sun, Jul 17","Mozambique","https://www.espn.com/soccer/team/_/id/8939/mozambique","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/645079","https://www.espn.com/soccer/team/_/id/4205/liberia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lbr.png&w=40&h=40&scale=crop&cquality=40&location=origin","2nd Leg · Senegal wins 4-2 on aggregate","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","FT-Pens","https://www.espn.com/soccer/match/_/gameId/649360","COSAFA Cup","1st Leg","https://www.espn.com/soccer/team/_/id/8939/mozambique","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/moz.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/649360","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","Sat, Jul 16","Zambia","https://www.espn.com/soccer/team/_/id/4277/zambia","Senegal","FT","https://www.espn.com/soccer/match/_/gameId/648792","COSAFA Cup","Wed, Jul 13","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/648287","https://www.espn.com/soccer/team/_/id/6686/eswatini","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/swz.png&w=40&h=40&scale=crop&cquality=40&location=origin","Eswatini","FT-Pens"
"June, 2022","Fri, Jun 10","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 1","https://www.espn.com/soccer/match/_/gameId/637033","https://www.espn.com/soccer/team/_/id/8937/niger","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nig.png&w=40&h=40&scale=crop&cquality=40&location=origin","Niger","https://www.espn.com/soccer/team/_/id/8937/niger","FT","https://www.espn.com/soccer/match/_/gameId/637033","International Friendly","Wed, Jun 8","Rwanda","https://www.espn.com/soccer/team/_/id/2851/rwanda","https://www.espn.com/soccer/team/_/id/2851/rwanda","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/rwa.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/634699","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","FT","https://www.espn.com/soccer/match/_/gameId/634699","Africa Cup of Nations qualifying","Sun, Jun 5","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 1","https://www.espn.com/soccer/match/_/gameId/634680","https://www.espn.com/soccer/team/_/id/2844/benin","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ben.png&w=40&h=40&scale=crop&cquality=40&location=origin","","Benin","https://www.espn.com/soccer/team/_/id/2844/benin","FT","https://www.espn.com/soccer/match/_/gameId/634680","Africa Cup of Nations qualifying","","","","","","","","","","","","","","","","","","","","","","","",""
"March, 2022","Wed, Mar 30","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","","","","","","","Egypt","https://www.espn.com/soccer/team/_/id/2620/egypt","FT-Pens","https://www.espn.com/soccer/match/_/gameId/629216","FIFA World Cup Qualifying - CAF","Sat, Mar 26","Egypt","https://www.espn.com/soccer/team/_/id/2620/egypt","https://www.espn.com/soccer/team/_/id/2620/egypt","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/egy.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/629222","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","FT","https://www.espn.com/soccer/match/_/gameId/629222","FIFA World Cup Qualifying - CAF","","","","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/629216","https://www.espn.com/soccer/team/_/id/2620/egypt","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/egy.png&w=40&h=40&scale=crop&cquality=40&location=origin","2nd Leg · Tied 1-1 on aggregate · Senegal wins 3-1 on Penalty Kicks","","","","","","1st Leg","","","","","","","","","","","","","","","","","","","","","","",""
"February, 2022","Mon, Feb 7","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://www.espn.com/soccer/team/_/id/2845/burkina-faso","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bka.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 3","https://www.espn.com/soccer/match/_/gameId/629156","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","Egypt","https://www.espn.com/soccer/team/_/id/2620/egypt","FT-Pens","https://www.espn.com/soccer/match/_/gameId/629153","Africa Cup of Nations","Thu, Feb 3","Burkina Faso","https://www.espn.com/soccer/team/_/id/2845/burkina-faso","","","","","","","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","FT","https://www.espn.com/soccer/match/_/gameId/629156","Africa Cup of Nations","","","","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/629153","https://www.espn.com/soccer/team/_/id/2620/egypt","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/egy.png&w=40&h=40&scale=crop&cquality=40&location=origin","Senegal wins 4-2 on Penalty Kicks","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"January, 2022","Mon, Jan 31","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 1","https://www.espn.com/soccer/match/_/gameId/629157","https://www.espn.com/soccer/team/_/id/8938/equatorial-guinea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eqg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Equatorial Guinea","https://www.espn.com/soccer/team/_/id/8938/equatorial-guinea","FT","https://www.espn.com/soccer/match/_/gameId/629157","Africa Cup of Nations","Wed, Jan 26","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/629164","https://www.espn.com/soccer/team/_/id/2597/cape-verde-islands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cpv.png&w=40&h=40&scale=crop&cquality=40&location=origin","Cape Verde Islands","https://www.espn.com/soccer/team/_/id/2597/cape-verde-islands","FT","https://www.espn.com/soccer/match/_/gameId/629164","Africa Cup of Nations","Wed, Jan 19","Malawi","https://www.espn.com/soccer/team/_/id/4325/malawi","https://www.espn.com/soccer/team/_/id/4325/malawi","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mwi.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/618246","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","FT","https://www.espn.com/soccer/match/_/gameId/618246","Africa Cup of Nations","","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/618235","https://www.espn.com/soccer/team/_/id/2847/guinea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gui.png&w=40&h=40&scale=crop&cquality=40&location=origin","Fri, Jan 14","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","Guinea","FT","https://www.espn.com/soccer/match/_/gameId/618235","Africa Cup of Nations","Mon, Jan 10","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/618232","https://www.espn.com/soccer/team/_/id/4214/zimbabwe","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/4214.png&w=40&h=40&scale=crop&cquality=40&location=origin","Zimbabwe","FT"
"November, 2021","Mon, Nov 15","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/601947","https://www.espn.com/soccer/team/_/id/4276/congo","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cgo.png&w=40&h=40&scale=crop&cquality=40&location=origin","Congo","https://www.espn.com/soccer/team/_/id/4276/congo","FT","https://www.espn.com/soccer/match/_/gameId/601947","FIFA World Cup Qualifying - CAF","Fri, Nov 12","Togo","https://www.espn.com/soccer/team/_/id/4356/togo","https://www.espn.com/soccer/team/_/id/4356/togo","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tog.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/601980","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","FT","https://www.espn.com/soccer/match/_/gameId/601980","FIFA World Cup Qualifying - CAF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"October, 2021","Tue, Oct 12","Namibia","https://www.espn.com/soccer/team/_/id/6725/namibia","https://www.espn.com/soccer/team/_/id/6725/namibia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nam.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 3","https://www.espn.com/soccer/match/_/gameId/601998","https://www.espn.com/soccer/team/_/id/654/senegal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sen.png&w=40&h=40&scale=crop&cquality=40&location=origin","Senegal","https://www.espn.com/soccer/team/_/id/654/senegal","FT","https://www.espn.com/soccer/match/_/gameId/601998","FIFA World Cup Qualifying - CAF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
