"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3"
"November, 2022","Fri, Nov 18","Bahrain","https://www.espn.com/soccer/team/_/id/4381/bahrain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bhr.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 5","https://www.espn.com/soccer/match/_/gameId/652190","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Wed, Sep 28","Norway","https://www.espn.com/soccer/team/_/id/464/norway","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nor.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/624008","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","UEFA Nations League","Sun, Sep 25","Serbia","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 1","https://www.espn.com/soccer/match/_/gameId/624034","https://www.espn.com/soccer/team/_/id/466/sweden","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/swe.png&w=40&h=40&scale=crop&cquality=40&location=origin","Sweden","FT","UEFA Nations League","","","","","","","","","","",""
"June, 2022","Mon, Jun 13","Slovenia","https://www.espn.com/soccer/team/_/id/472/slovenia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/svn.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/624079","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","UEFA Nations League","Fri, Jun 10","Sweden","https://www.espn.com/soccer/team/_/id/466/sweden","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/swe.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/624106","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","FT","UEFA Nations League","Mon, Jun 6","Serbia","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 1","https://www.espn.com/soccer/match/_/gameId/624133","https://www.espn.com/soccer/team/_/id/472/slovenia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/svn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Slovenia","FT","UEFA Nations League"
"March, 2022","Wed, Mar 30","Denmark","https://www.espn.com/soccer/team/_/id/479/denmark","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/den.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/627972","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","International Friendly","Fri, Mar 25","Hungary","https://www.espn.com/soccer/team/_/id/480/hungary","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hun.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/627971","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","FT","International Friendly","","","","","","","","","","",""
"November, 2021","Mon, Nov 15","Portugal","https://www.espn.com/soccer/team/_/id/482/portugal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/por.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/590222","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","FIFA World Cup Qualifying - UEFA","Fri, Nov 12","Serbia","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 0","https://www.espn.com/soccer/match/_/gameId/619176","https://www.espn.com/soccer/team/_/id/4398/qatar","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/qat.png&w=40&h=40&scale=crop&cquality=40&location=origin","Qatar","FT","International Friendly","","","","","","","","","","",""
"October, 2021","Wed, Oct 13","Serbia","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 1","https://www.espn.com/soccer/match/_/gameId/590255","https://www.espn.com/soccer/team/_/id/581/azerbaijan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aze.png&w=40&h=40&scale=crop&cquality=40&location=origin","Azerbaijan","FIFA World Cup Qualifying - UEFA","Sun, Oct 10","Luxembourg","https://www.espn.com/soccer/team/_/id/582/luxembourg","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lux.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/590281","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","",""
"September, 2021","Wed, Sep 8","Republic of Ireland","https://www.espn.com/soccer/team/_/id/476/republic-of-ireland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irl.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/590318","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","FIFA World Cup Qualifying - UEFA","Sun, Sep 5","Serbia","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 1","https://www.espn.com/soccer/match/_/gameId/590341","https://www.espn.com/soccer/team/_/id/582/luxembourg","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lux.png&w=40&h=40&scale=crop&cquality=40&location=origin","Luxembourg","FT","FIFA World Cup Qualifying - UEFA","Thu, Sep 2","Qatar","https://www.espn.com/soccer/team/_/id/4398/qatar","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/qat.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 4","https://www.espn.com/soccer/match/_/gameId/606314","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","FT","International Friendly"
"June, 2021","Fri, Jun 11","Japan","https://www.espn.com/soccer/team/_/id/627/japan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jpn.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/602874","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","International Friendly","Mon, Jun 7","Serbia","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/602730","https://www.espn.com/soccer/team/_/id/1038/jamaica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jam.png&w=40&h=40&scale=crop&cquality=40&location=origin","Jamaica","FT","International Friendly","","","","","","","","","","",""
"March, 2021","Wed, Mar 31","Azerbaijan","https://www.espn.com/soccer/team/_/id/581/azerbaijan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/aze.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/590390","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","FIFA World Cup Qualifying - UEFA","Sun, Mar 28","Serbia","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/590408","https://www.espn.com/soccer/team/_/id/482/portugal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/por.png&w=40&h=40&scale=crop&cquality=40&location=origin","Portugal","FT","FIFA World Cup Qualifying - UEFA","Thu, Mar 25","Serbia","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 2","https://www.espn.com/soccer/match/_/gameId/590432","https://www.espn.com/soccer/team/_/id/476/republic-of-ireland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irl.png&w=40&h=40&scale=crop&cquality=40&location=origin","Republic of Ireland","FT","FIFA World Cup Qualifying - UEFA"
"January, 2021","Fri, Jan 29","Panama","https://www.espn.com/soccer/team/_/id/2659/panama","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pan.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/593663","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","International Friendly","Tue, Jan 26","Dominican Republic","https://www.espn.com/soccer/team/_/id/2649/dominican-republic","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/dom.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/591379","https://www.espn.com/soccer/team/_/id/6757/serbia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sba.png&w=40&h=40&scale=crop&cquality=40&location=origin","Serbia","FT","International Friendly","","","","","","","","","","",""
