"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3"
"November, 2022","Fri, Nov 11","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/655818","https://www.espn.com/soccer/team/_/id/470/iceland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/isl.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iceland","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Tue, Sep 27","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/652569","https://www.espn.com/soccer/team/_/id/656/cameroon","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crm.png&w=40&h=40&scale=crop&cquality=40&location=origin","Cameroon","International Friendly","Fri, Sep 23","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/652568","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Costa Rica","FT","International Friendly","","","","","","","","","","",""
"June, 2022","Tue, Jun 14","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 1","https://www.espn.com/soccer/match/_/gameId/635655","https://www.espn.com/soccer/team/_/id/2620/egypt","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/egy.png&w=40&h=40&scale=crop&cquality=40&location=origin","Egypt","International Friendly","Fri, Jun 10","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/634868","https://www.espn.com/soccer/team/_/id/210/paraguay","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/par.png&w=40&h=40&scale=crop&cquality=40&location=origin","Paraguay","FT","International Friendly","Mon, Jun 6","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/634867","https://www.espn.com/soccer/team/_/id/207/chile","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/chi.png&w=40&h=40&scale=crop&cquality=40&location=origin","Chile","FT","International Friendly"
"March, 2022","Tue, Mar 29","United Arab Emirates","https://www.espn.com/soccer/team/_/id/4397/united-arab-emirates","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uae.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/611250","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","South Korea","FIFA World Cup Qualifying - AFC","Thu, Mar 24","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/611252","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iran","FT","FIFA World Cup Qualifying - AFC","","","","","","","","","","",""
"February, 2022","Tue, Feb 1","Syria","https://www.espn.com/soccer/team/_/id/4380/syria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/syr.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/611262","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","South Korea","FIFA World Cup Qualifying - AFC","","","","","","","","","","","","","","","","","","","","","",""
"January, 2022","Thu, Jan 27","Lebanon","https://www.espn.com/soccer/team/_/id/4388/lebanon","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lib.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/611298","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","South Korea","FIFA World Cup Qualifying - AFC","Fri, Jan 21","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 0","https://www.espn.com/soccer/match/_/gameId/625840","https://www.espn.com/soccer/team/_/id/483/moldova","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mda.png&w=40&h=40&scale=crop&cquality=40&location=origin","Moldova","FT","International Friendly","Sat, Jan 15","Iceland","https://www.espn.com/soccer/team/_/id/470/iceland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/isl.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 5","https://www.espn.com/soccer/match/_/gameId/625949","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","South Korea","FT","International Friendly"
"November, 2021","Tue, Nov 16","Iraq","https://www.espn.com/soccer/team/_/id/4375/iraq","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irq.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/611274","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","South Korea","FIFA World Cup Qualifying - AFC","Thu, Nov 11","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/611281","https://www.espn.com/soccer/team/_/id/4397/united-arab-emirates","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uae.png&w=40&h=40&scale=crop&cquality=40&location=origin","United Arab Emirates","FT","FIFA World Cup Qualifying - AFC","","","","","","","","","","",""
"October, 2021","Tue, Oct 12","Iran","https://www.espn.com/soccer/team/_/id/469/iran","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irn.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/611286","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","South Korea","FIFA World Cup Qualifying - AFC","Thu, Oct 7","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/611292","https://www.espn.com/soccer/team/_/id/4380/syria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/syr.png&w=40&h=40&scale=crop&cquality=40&location=origin","Syria","FT","FIFA World Cup Qualifying - AFC","","","","","","","","","","",""
"September, 2021","Tue, Sep 7","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/611266","https://www.espn.com/soccer/team/_/id/4388/lebanon","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lib.png&w=40&h=40&scale=crop&cquality=40&location=origin","Lebanon","FIFA World Cup Qualifying - AFC","Thu, Sep 2","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/611301","https://www.espn.com/soccer/team/_/id/4375/iraq","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/irq.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iraq","FT","FIFA World Cup Qualifying - AFC","","","","","","","","","","",""
"June, 2021","Sun, Jun 13","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/553276","https://www.espn.com/soccer/team/_/id/4388/lebanon","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lib.png&w=40&h=40&scale=crop&cquality=40&location=origin","Lebanon","FIFA World Cup Qualifying - AFC","Wed, Jun 9","Sri Lanka","https://www.espn.com/soccer/team/_/id/5782/sri-lanka","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sri.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 5","https://www.espn.com/soccer/match/_/gameId/553313","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","South Korea","FT","FIFA World Cup Qualifying - AFC","Sat, Jun 5","South Korea","https://www.espn.com/soccer/team/_/id/451/south-korea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/kors.png&w=40&h=40&scale=crop&cquality=40&location=origin","5 - 0","https://www.espn.com/soccer/match/_/gameId/553332","https://www.espn.com/soccer/team/_/id/7507/turkmenistan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tkm.png&w=40&h=40&scale=crop&cquality=40&location=origin","Turkmenistan","FT","FIFA World Cup Qualifying - AFC"
