"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","AnchorLink 4","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3","matchTeams 4","AnchorLink 13","AnchorLink href 19","Image src 7","AnchorLink 14","AnchorLink href 21","AnchorLink href 22","Image src 8","AnchorLink 15","AnchorLink 16","Table__TD 4"
"November, 2022","Fri, Nov 18","Jordan","https://www.espn.com/soccer/team/_/id/2917/jordan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jor.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 3","https://www.espn.com/soccer/match/_/gameId/654030","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","FT","International Friendly","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Wed, Sep 28","Portugal","https://www.espn.com/soccer/team/_/id/482/portugal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/por.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/624010","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","FT","UEFA Nations League","Sun, Sep 25","Spain","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/624035","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","Switzerland","FT","UEFA Nations League","","","","","","","","","","","","","","","","","","","","","",""
"June, 2022","Mon, Jun 13","Spain","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/624075","https://www.espn.com/soccer/team/_/id/450/czech-republic","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cze.png&w=40&h=40&scale=crop&cquality=40&location=origin","Czech Republic","FT","UEFA Nations League","Fri, Jun 10","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/624108","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","FT","UEFA Nations League","Mon, Jun 6","Czech Republic","https://www.espn.com/soccer/team/_/id/450/czech-republic","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cze.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 2","https://www.espn.com/soccer/match/_/gameId/624134","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","FT","UEFA Nations League","Fri, Jun 3","Spain","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/624159","https://www.espn.com/soccer/team/_/id/482/portugal","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/por.png&w=40&h=40&scale=crop&cquality=40&location=origin","Portugal","FT","UEFA Nations League"
"March, 2022","Wed, Mar 30","Spain","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","5 - 0","https://www.espn.com/soccer/match/_/gameId/625951","https://www.espn.com/soccer/team/_/id/470/iceland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/isl.png&w=40&h=40&scale=crop&cquality=40&location=origin","Iceland","FT","International Friendly","Sun, Mar 27","Spain","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/625950","https://www.espn.com/soccer/team/_/id/585/albania","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/alb.png&w=40&h=40&scale=crop&cquality=40&location=origin","Albania","FT","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"November, 2021","Mon, Nov 15","Spain","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/590223","https://www.espn.com/soccer/team/_/id/466/sweden","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/swe.png&w=40&h=40&scale=crop&cquality=40&location=origin","Sweden","FT","FIFA World Cup Qualifying - UEFA","Fri, Nov 12","Greece","https://www.espn.com/soccer/team/_/id/455/greece","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gre.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/590248","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","",""
"October, 2021","Mon, Oct 11","Spain","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/589985","https://www.espn.com/soccer/team/_/id/478/france","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/fra.png&w=40&h=40&scale=crop&cquality=40&location=origin","France","FT","UEFA Nations League","Thu, Oct 7","Italy","https://www.espn.com/soccer/team/_/id/162/italy","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ita.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 2","https://www.espn.com/soccer/match/_/gameId/589987","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","FT","UEFA Nations League","","","","","","","","","","","","","","","","","","","","","",""
"September, 2021","Thu, Sep 9","Kosovo","https://www.espn.com/soccer/team/_/id/18272/kosovo","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18272.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/590306","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","FT","FIFA World Cup Qualifying - UEFA","Mon, Sep 6","Spain","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 0","https://www.espn.com/soccer/match/_/gameId/590324","https://www.espn.com/soccer/team/_/id/584/georgia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/geo.png&w=40&h=40&scale=crop&cquality=40&location=origin","Georgia","FT","FIFA World Cup Qualifying - UEFA","Fri, Sep 3","Sweden","https://www.espn.com/soccer/team/_/id/466/sweden","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/swe.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/590353","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","",""
"July, 2021","Wed, Jul 7","Italy","https://www.espn.com/soccer/team/_/id/162/italy","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ita.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/560296","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","FT-Pens","UEFA European Championship","Sat, Jul 3","Switzerland","https://www.espn.com/soccer/team/_/id/475/switzerland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/sui.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/560300","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","FT-Pens","UEFA European Championship","","","","","","","","","","","","","","","","","","","","","",""
"June, 2021","Tue, Jun 29","Croatia","https://www.espn.com/soccer/team/_/id/477/croatia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/cro.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 5","https://www.espn.com/soccer/match/_/gameId/560304","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","AET","UEFA European Championship","Thu, Jun 24","Slovakia","https://www.espn.com/soccer/team/_/id/468/slovakia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/svk.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 5","https://www.espn.com/soccer/match/_/gameId/560311","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","Spain","FT","UEFA European Championship","Sun, Jun 20","Spain","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/560323","https://www.espn.com/soccer/team/_/id/471/poland","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pol.png&w=40&h=40&scale=crop&cquality=40&location=origin","Poland","FT","UEFA European Championship","Tue, Jun 15","Spain","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/560336","https://www.espn.com/soccer/team/_/id/466/sweden","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/swe.png&w=40&h=40&scale=crop&cquality=40&location=origin","Sweden","FT","UEFA European Championship"
"April, 2021","Thu, Apr 1","Spain","https://www.espn.com/soccer/team/_/id/164/spain","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/esp.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 1","https://www.espn.com/soccer/match/_/gameId/590377","https://www.espn.com/soccer/team/_/id/18272/kosovo","https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/18272.png&w=40&h=40&scale=crop&cquality=40&location=origin","Kosovo","FT","FIFA World Cup Qualifying - UEFA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
