"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3","matchTeams 4","AnchorLink 13","AnchorLink href 19","Image src 7","AnchorLink 14","AnchorLink href 21","AnchorLink href 22","Image src 8","AnchorLink 15","AnchorLink 16","Table__TD 4"
"September, 2022","Wed, Sep 28","Brazil","https://www.espn.com/soccer/team/_/id/205/brazil","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bra.png&w=40&h=40&scale=crop&cquality=40&location=origin","5 - 1","https://www.espn.com/soccer/match/_/gameId/652193","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","International Friendly","Thu, Sep 22","Comoros Islands","https://www.espn.com/soccer/team/_/id/8601/comoros-islands","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/com.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/654236","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","FT","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"June, 2022","Tue, Jun 14","Japan","https://www.espn.com/soccer/team/_/id/627/japan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jpn.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 3","https://www.espn.com/soccer/match/_/gameId/637055","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","International Friendly","Fri, Jun 10","Chile","https://www.espn.com/soccer/team/_/id/207/chile","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/chi.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/637052","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","FT","International Friendly","Sun, Jun 5","Botswana","https://www.espn.com/soccer/team/_/id/4245/botswana","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bot.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/634715","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","FT","Africa Cup of Nations qualifying","Fri, Jun 3","Tunisia","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 0","https://www.espn.com/soccer/match/_/gameId/634679","https://www.espn.com/soccer/team/_/id/8938/equatorial-guinea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eqg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Equatorial Guinea","FT","Africa Cup of Nations qualifying"
"March, 2022","Wed, Mar 30","Tunisia","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/629218","https://www.espn.com/soccer/team/_/id/2849/mali","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mli.png&w=40&h=40&scale=crop&cquality=40&location=origin","Mali","FIFA World Cup Qualifying - CAF","Sat, Mar 26","Mali","https://www.espn.com/soccer/team/_/id/2849/mali","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mli.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/629223","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","FT","FIFA World Cup Qualifying - CAF","","","","","","","","","","","","","","","","","","","","","",""
"January, 2022","Sun, Jan 30","Burkina Faso","https://www.espn.com/soccer/team/_/id/2845/burkina-faso","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bka.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/629159","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","Africa Cup of Nations","Mon, Jan 24","Nigeria","https://www.espn.com/soccer/team/_/id/657/nigeria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/nga.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 1","https://www.espn.com/soccer/match/_/gameId/629167","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","FT","Africa Cup of Nations","Fri, Jan 21","Gambia","https://www.espn.com/soccer/team/_/id/7368/gambia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/gam.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/618238","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","FT","Africa Cup of Nations","Mon, Jan 17","Tunisia","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","4 - 0","https://www.espn.com/soccer/match/_/gameId/618250","https://www.espn.com/soccer/team/_/id/8940/mauritania","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mtn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Mauritania","FT","Africa Cup of Nations"
"November, 2021","Wed, Nov 17","Tunisia","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 1","https://www.espn.com/soccer/match/_/gameId/601962","https://www.espn.com/soccer/team/_/id/4277/zambia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/zam.png&w=40&h=40&scale=crop&cquality=40&location=origin","Zambia","FIFA World Cup Qualifying - CAF","Sun, Nov 14","Equatorial Guinea","https://www.espn.com/soccer/team/_/id/8938/equatorial-guinea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eqg.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/601981","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","FT","FIFA World Cup Qualifying - CAF","","","","","","","","","","","","","","","","","","","","","",""
"October, 2021","Mon, Oct 11","Mauritania","https://www.espn.com/soccer/team/_/id/8940/mauritania","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mtn.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/602002","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","FIFA World Cup Qualifying - CAF","Fri, Oct 8","Tunisia","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/602015","https://www.espn.com/soccer/team/_/id/8940/mauritania","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mtn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Mauritania","FT","FIFA World Cup Qualifying - CAF","","","","","","","","","","","","","","","","","","","","","",""
"September, 2021","Tue, Sep 7","Zambia","https://www.espn.com/soccer/team/_/id/4277/zambia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/zam.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/602041","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","FIFA World Cup Qualifying - CAF","Sat, Sep 4","Tunisia","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/602049","https://www.espn.com/soccer/team/_/id/8938/equatorial-guinea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eqg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Equatorial Guinea","FT","FIFA World Cup Qualifying - CAF","","","","","","","","","","","","","","","","","","","","","",""
"June, 2021","Wed, Jun 16","Tunisia","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/602817","https://www.espn.com/soccer/team/_/id/2849/mali","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mli.png&w=40&h=40&scale=crop&cquality=40&location=origin","Mali","International Friendly","Sat, Jun 12","Tunisia","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 2","https://www.espn.com/soccer/match/_/gameId/602665","https://www.espn.com/soccer/team/_/id/624/algeria","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/alg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Algeria","FT","International Friendly","Sun, Jun 6","Tunisia","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/602816","https://www.espn.com/soccer/team/_/id/2850/congo-dr","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/rdc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Congo DR","FT","International Friendly","","","","","","","","","","",""
"March, 2021","Sun, Mar 28","Tunisia","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/596264","https://www.espn.com/soccer/team/_/id/8938/equatorial-guinea","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/eqg.png&w=40&h=40&scale=crop&cquality=40&location=origin","Equatorial Guinea","Africa Cup of Nations qualifying","Fri, Mar 26","Libya","https://www.espn.com/soccer/team/_/id/2621/libya","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/lby.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 5","https://www.espn.com/soccer/match/_/gameId/596278","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","FT","Africa Cup of Nations qualifying","","","","","","","","","","","","","","","","","","","","","",""
"November, 2020","Wed, Nov 18","Tanzania","https://www.espn.com/soccer/team/_/id/5778/tanzania","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tan.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/588016","https://www.espn.com/soccer/team/_/id/659/tunisia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/tun.png&w=40&h=40&scale=crop&cquality=40&location=origin","Tunisia","Africa Cup of Nations qualifying","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
