"Table__Title","matchTeams","AnchorLink","AnchorLink href","Image src","AnchorLink 2","AnchorLink href 3","AnchorLink href 4","Image src 2","AnchorLink 3","AnchorLink 4","Table__TD","matchTeams 2","AnchorLink 5","AnchorLink href 7","Image src 3","AnchorLink 6","AnchorLink href 9","AnchorLink href 10","Image src 4","AnchorLink 7","AnchorLink 8","Table__TD 2","matchTeams 3","AnchorLink 9","AnchorLink href 13","Image src 5","AnchorLink 10","AnchorLink href 15","AnchorLink href 16","Image src 6","AnchorLink 11","AnchorLink 12","Table__TD 3"
"November, 2022","Tue, Nov 22","United States","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/633787","https://www.espn.com/soccer/team/_/id/578/wales","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/wal.png&w=40&h=40&scale=crop&cquality=40&location=origin","Wales","FT","FIFA World Cup","","","","","","","","","","","","","","","","","","","","","",""
"September, 2022","Wed, Sep 28","Saudi Arabia","https://www.espn.com/soccer/team/_/id/655/saudi-arabia","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/ksa.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/641090","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","United States","FT","International Friendly","Fri, Sep 23","Japan","https://www.espn.com/soccer/team/_/id/627/japan","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jpn.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/641088","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","United States","FT","International Friendly","","","","","","","","","","",""
"June, 2022","Wed, Jun 15","El Salvador","https://www.espn.com/soccer/team/_/id/2650/el-salvador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/slv.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/634303","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","United States","FT","CONCACAF Nations League","Sat, Jun 11","United States","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","5 - 0","https://www.espn.com/soccer/match/_/gameId/634300","https://www.espn.com/soccer/team/_/id/2651/grenada","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/grn.png&w=40&h=40&scale=crop&cquality=40&location=origin","Grenada","FT","CONCACAF Nations League","Mon, Jun 6","United States","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/634642","https://www.espn.com/soccer/team/_/id/212/uruguay","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/uru.png&w=40&h=40&scale=crop&cquality=40&location=origin","Uruguay","FT","International Friendly"
"March, 2022","Thu, Mar 31","Costa Rica","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/606044","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","United States","FT","FIFA World Cup Qualifying - CONCACAF","Mon, Mar 28","United States","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","5 - 1","https://www.espn.com/soccer/match/_/gameId/606048","https://www.espn.com/soccer/team/_/id/2659/panama","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pan.png&w=40&h=40&scale=crop&cquality=40&location=origin","Panama","FT","FIFA World Cup Qualifying - CONCACAF","Fri, Mar 25","Mexico","https://www.espn.com/soccer/team/_/id/203/mexico","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mex.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/606052","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","United States","FT","FIFA World Cup Qualifying - CONCACAF"
"February, 2022","Thu, Feb 3","United States","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","3 - 0","https://www.espn.com/soccer/match/_/gameId/606055","https://www.espn.com/soccer/team/_/id/215/honduras","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hon.png&w=40&h=40&scale=crop&cquality=40&location=origin","Honduras","FT","FIFA World Cup Qualifying - CONCACAF","","","","","","","","","","","","","","","","","","","","","",""
"January, 2022","Mon, Jan 31","Canada","https://www.espn.com/soccer/team/_/id/206/canada","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/can.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/606060","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","United States","FT","FIFA World Cup Qualifying - CONCACAF","Fri, Jan 28","United States","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/606062","https://www.espn.com/soccer/team/_/id/2650/el-salvador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/slv.png&w=40&h=40&scale=crop&cquality=40&location=origin","El Salvador","FT","FIFA World Cup Qualifying - CONCACAF","","","","","","","","","","",""
"December, 2021","Sun, Dec 19","United States","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/621433","https://www.espn.com/soccer/team/_/id/452/bosnia-and-herzegovina","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/bih.png&w=40&h=40&scale=crop&cquality=40&location=origin","Bosnia and Herzegovina","FT","International Friendly","","","","","","","","","","","","","","","","","","","","","",""
"November, 2021","Wed, Nov 17","Jamaica","https://www.espn.com/soccer/team/_/id/1038/jamaica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jam.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/606068","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","United States","FT","FIFA World Cup Qualifying - CONCACAF","Sat, Nov 13","United States","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/606071","https://www.espn.com/soccer/team/_/id/203/mexico","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/mex.png&w=40&h=40&scale=crop&cquality=40&location=origin","Mexico","FT","FIFA World Cup Qualifying - CONCACAF","","","","","","","","","","",""
"October, 2021","Thu, Oct 14","United States","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 1","https://www.espn.com/soccer/match/_/gameId/606073","https://www.espn.com/soccer/team/_/id/214/costa-rica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/crc.png&w=40&h=40&scale=crop&cquality=40&location=origin","Costa Rica","FT","FIFA World Cup Qualifying - CONCACAF","Mon, Oct 11","Panama","https://www.espn.com/soccer/team/_/id/2659/panama","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/pan.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 0","https://www.espn.com/soccer/match/_/gameId/606080","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","United States","FT","FIFA World Cup Qualifying - CONCACAF","Fri, Oct 8","United States","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","2 - 0","https://www.espn.com/soccer/match/_/gameId/606083","https://www.espn.com/soccer/team/_/id/1038/jamaica","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/jam.png&w=40&h=40&scale=crop&cquality=40&location=origin","Jamaica","FT","FIFA World Cup Qualifying - CONCACAF"
"September, 2021","Thu, Sep 9","Honduras","https://www.espn.com/soccer/team/_/id/215/honduras","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/hon.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 4","https://www.espn.com/soccer/match/_/gameId/606088","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","United States","FT","FIFA World Cup Qualifying - CONCACAF","Mon, Sep 6","United States","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","1 - 1","https://www.espn.com/soccer/match/_/gameId/606089","https://www.espn.com/soccer/team/_/id/206/canada","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/can.png&w=40&h=40&scale=crop&cquality=40&location=origin","Canada","FT","FIFA World Cup Qualifying - CONCACAF","Fri, Sep 3","El Salvador","https://www.espn.com/soccer/team/_/id/2650/el-salvador","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/slv.png&w=40&h=40&scale=crop&cquality=40&location=origin","0 - 0","https://www.espn.com/soccer/match/_/gameId/606096","https://www.espn.com/soccer/team/_/id/660/united-states","https://a.espncdn.com/combiner/i?img=/i/teamlogos/countries/500/usa.png&w=40&h=40&scale=crop&cquality=40&location=origin","United States","FT","FIFA World Cup Qualifying - CONCACAF"
